지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
108,서울,1920-01-01,-8.5,-12.7,,-2.3,,,,,,,,,0,,4.5,290,,2.6,2246,,,,,70,2.1,,,,,,,,8.3,,,,,,,,,0,,-5.6,,2.7,0,0,0,1.9,5.9,10.8,,,,1.3,,{서리}{강도0}6h. {서리}{강도0}22h. {연무}{강도0}0625-0920.,
108,서울,1920-01-02,-8.6,-17.4,,-4.2,,,,,,,0,,0,,2.6,110,,1.5,1296,,,,,74.3,2.4,,,,,,,,.9,,,,,,,,,10,,-4.3,,2.5,0,0,0,1.7,5.8,10.7,,,,.4,0,{서리}{강도1}6h. {눈}{강도0}1006-1015.  1143-1220.  {눈}{강도0}2030-{눈}{강도0}{싸락우박}{강도0}2040-{눈}{강도0}2153-2350.,
108,서울,1920-01-03,-10.5,-15.3,,-4.8,,,,,,,0,,0,,5.4,290,,3,2592,,,,,73,2,,,,,,,,8.4,,,,,,,,,0,,-6,,2.6,0,0,0,1.6,5.8,10.6,,,,1.1,,{서리}{강도0}22h.,
108,서울,1920-01-04,-14.7,-22.3,,-8.5,,,,,,,,,0,,2.3,90,,1,864,,,,,76.3,1.5,,,,,,,,7.6,,,,,,,,,1,,-9.2,,2,0,0,0,1.4,5.6,10.5,,,,1.1,,{서리}{강도2}6h. {서리}{강도0}22h. {연무}{강도0}1710-2035.,
108,서울,1920-01-05,-12.4,-19.2,,-5,,,,,,,,,0,,2.4,50,,1.4,1210,,,,,73,2.3,,,,,,,,8.2,,,,,,,,,0,,-7.9,,1.6,0,0,0,.6,5.5,10.5,,,,.8,,{서리}{강도0}6h. {서리}{강도0}22h.,
108,서울,1920-01-06,-6.5,-14.3,,-3.3,,,,,,,0,,0,,4.2,90,,2.6,2246,,,,,73.3,2.7,,,,,,,,.7,,,,,,,,,9.7,,-4.4,,1.9,0,0,0,1,5.4,10.3,,,,.6,.1,{눈}{강도0}1129-1220.,
108,서울,1920-01-07,-2.5,-5.8,,.4,,,,,,,7,,0,,12.2,290,,4.2,3629,,,,,83.3,4.3,,,,,,,,.3,,,,,,,,,8,,-2.4,,2.3,0,0,0,1,5.3,10.3,,,,.1,6.9,{눈}{강도0}0615-0620.  {눈}{강도0}0935-{눈}{강도1}0950-{눈}{강도2}0958-{눈}{강도1}1015-{눈}{강도2}1055-{눈}{강도1}1125-{눈}{강도0}1137-{눈}{강도2}1505-{눈}{강도1}1517-{눈}{강도0}1525-1620.,
108,서울,1920-01-08,-9.4,-13,,-4.6,,,,,,,0,,0,,4.3,320,,2.1,1814,,,,,74.3,2.2,,,,,,,,7.7,,,,,,,,,1.3,,-4.6,,2.2,0,0,0,1,5.2,10.1,,,,.9,,{서리}{강도0}22h.,
108,서울,1920-01-09,-9.9,-19.5,,-4.6,,,,,,,,,0,,3.3,320,,1.8,1555,,,,,72.3,2.1,,,,,,,,8.3,,,,,,,,,4.7,,-5,,1.6,0,0,0,.9,5.1,10,,,,1.1,0,{서리}{강도2}6h. {연무}{강도0}0640-0920.  {햇무리}{강도0}1420-1550.,
108,서울,1920-01-10,-2.6,-9,,2.4,,,,,,,0,,0,,3.8,70,,2.4,2074,,,,,73.7,3.5,,,,,,,,5.5,,,,,,,,,4,,-2.1,,2.1,0,0,0,.8,4.9,10,,,,.8,,{서리}{강도1}22h. {눈}{강도0}0545-{눈}{강도0}{싸락우박}{강도0}0730-0845.  {연무}{강도0}1752-2132.,
108,서울,1920-01-11,-2.5,-9,,2.9,,,,,,,,,0,,2.3,90,,1.1,950,,,,,81.3,4.1,,,,,,,,7.8,,,,,,,,,5.7,,-2,,2.1,0,0,0,.9,4.9,9.9,,,,1.1,,{서리}{강도1}22h. {서리}{강도2}6h. {달코로나}{강도0}0549-0554.,
108,서울,1920-01-12,.4,-5.7,,5.1,,,,,,,9.3,,0,,5.3,50,,3.7,3197,,,,,76.7,4.8,,,,,,,,4.6,,,,,,,,,10,,-.1,,2.1,0,0,0,.1,4.9,9.8,,,,.9,14.5,{서리}{강도1}6h. {달무리}{강도0}0515-0625.  {비}{강도0}1741-{비}{강도0}1812-{눈}{강도0}1852-{눈}{강도1}2045-{눈}{강도2}2123.,
108,서울,1920-01-13,-6,-11.6,,-.2,,,,,,,5.3,,0,,8.9,290,,4.6,3974,,,,,69.7,2.8,,,,,,,,1.1,,,,,,26.7,,,6.7,,.1,,2.7,0,0,0,1.1,4.9,9.7,,,,.3,.1,-{눈}{강도0}-1045.  {눈}{강도0}1253-{눈}{강도1}1513-{눈}{강도0}1610-1625.,
108,서울,1920-01-14,-14.2,-16.2,,-11.1,,,,,,,,,0,,8.3,290,,4.5,3888,,,,,52.3,1.1,,,,,,,,8.8,,,,,,,,,0,,-2.7,,2.8,0,0,0,1.1,4.8,10.2,,,,.9,,,
108,서울,1920-01-15,-14.2,-18.8,,-10.1,,,,,,,,,0,,3.1,250,,2,1728,,,,,56,1.1,,,,,,,,8.1,,,,,,,,,0,,-5.8,,2.3,0,0,0,1,4.8,9.5,,,,.9,,,
108,서울,1920-01-16,-14,-19.6,,-8.7,,,,,,,,,0,,3.7,270,,2,1728,,,,,62.3,1.3,,,,,,,,7.9,,,,,,,,,0,,-7,,1.1,0,0,0,-.1,4.7,9.5,,,,.8,,{서리}{강도0}22h. {연무}{강도0}0640-{연무}{강도1}0920-{연무}{강도0}1030-1150.,
108,서울,1920-01-17,-13.2,-19.8,,-6.6,,,,,,,,,0,,2.6,110,,1,864,,,,,76.7,1.7,,,,,,,,8.3,,,,,,,,,1.7,,-7.1,,1.1,0,0,0,.3,4.7,9.4,,,,.8,0,{서리}{강도1}6h. {서리}{강도0}22h. {연무}{강도0}0634-2130.,
108,서울,1920-01-18,-7.7,-15.9,,-2.3,,,,,,,0,,0,,2.2,110,,1.3,1123,,,,,79,2.8,,,,,,,,3.5,,,,,,,,,7.7,,-4.9,,1.2,0,0,0,.1,4.6,9.4,,,,.9,0,{서리}{강도0}6h. {서리}{강도0}22h. {눈}{강도0}0810-0823.,
108,서울,1920-01-19,-2.9,-9.1,,2.4,,,,,,,0,,0,,4.4,270,,1.4,1210,,,,,81.3,3.9,,,,,,,,5.7,,,,,,,,,6.7,,-2.2,,1.7,0,0,0,.1,4.4,9.3,,,,1.1,0,{서리}{강도0}22h. {눈}{강도0}0713-0722.  {연무}{강도0}1730-,
108,서울,1920-01-20,-3.3,-6.4,,1,,,,,,,.9,,0,,5.7,290,,2.1,1814,,,,,80.3,4.1,,,,,,,,2.5,,,,,,,,,3.3,,-2.8,,1.9,0,0,0,.5,4.4,9.2,,,,0,1.4,{서리}{강도1}6h. -{안개}{강도0}0756-{안개}{강도1}0843-{안개}{강도0}0922-1124.  {눈}{강도0}0742-0806.  {눈}{강도1}1413-{눈}{강도2}1412-{눈}{강도0}1430-1535.  {눈}{강도0}1155-{눈}{강도1}1208-{눈}{강도2}1215-{눈}{강도1}1221-{눈}{강도0}1223-{눈}{강도1}1305-1352.,
108,서울,1920-01-21,-7.8,-12.9,,-2.9,,,,,,,2.1,,0,,8.4,320,,3.6,3110,,,,,72.7,2.5,,,,,,,,2.4,,,,,,,,,6.7,,-4.6,,1.6,0,0,0,.4,4.4,9.2,,,,.7,1.6,{서리}{강도2}6h. {눈}{강도0}0918-{눈}{강도1}0937-{눈}{강도0}1253-1318.  {연무}{강도0}1713-,
108,서울,1920-01-22,-12.3,-16,,-8,,,,,,,,,0,,3.6,290,,2.5,2160,,,,,60.7,1.4,,,,,,,,7.7,,,,,,,,,2.7,,-6.4,,1,0,0,0,.1,4.2,9,,,,1,,{서리}{강도0}6h. {서리}{강도0}22h. -{연무}{강도0}-1332.,
108,서울,1920-01-23,-10.5,-19.7,,-5.6,,,,,,,,,0,,3.1,90,,1.6,1382,,,,,69.7,1.9,,,,,,,,5.5,,,,,,,,,6.7,,-6.6,,.4,0,0,0,-.4,4.3,9,,,,.9,0,{서리}{강도0}6h. {햇무리}{강도0}1138-1325.,
108,서울,1920-01-24,-6.5,-9.5,,-2.3,,,,,,,0,,0,,5.8,290,,3,2592,,,,,73.3,2.8,,,,,,,,6.7,,,,,,,,,2.3,,-4.1,,1.1,0,0,0,-.3,4.2,9,,,,1.2,0,{서리}{강도1}6h. {눈}{강도0}0823-1045.,
108,서울,1920-01-25,-10.2,-16.7,,-4.5,,,,,,,,,0,,2.3,110,,1.3,1123,,,,,77,2.2,,,,,,,,8,,,,,,,,,3.3,,-6.6,,.6,0,0,0,-.4,3.9,8.8,,,,1,,{서리}{강도2}6h. {서리}{강도0}22h. {연무}{강도0}0715-1233.  {연무}{강도0}1730-{연무}{강도1}1740-{연무}{강도0}1855-,
108,서울,1920-01-26,-4.1,-14,,0,,,,,,,,,0,,2.9,70,,2.2,1901,,,,,68.7,3.1,,,,,,,,0,,,,,,,,,6.7,,-3.8,,.6,0,0,0,-.6,3.9,8.7,,,,.8,,{서리}{강도1}6h. -{연무}{강도0}-0842.,
108,서울,1920-01-27,-2.4,-9,,4.2,,,,,,,,,0,,1.8,110,,3.2,864,,,,,78.3,4,,,,,,,,6.7,,,,,,,,,3.3,,-2,,1.2,0,0,0,-.3,3.9,8.8,,,,1.2,,{서리}{강도2}6h. {서리}{강도1}22h. {연무}{강도0}0645-1133.,
108,서울,1920-01-28,2.2,-3.8,,5.8,,,,,,,5.6,,0,,8.2,70,,3.1,2678,,,,,71.7,5.1,,,,,,,,1.4,,,,,,,,,8.3,,-.6,,1.8,0,0,0,.1,3.7,8.6,,,,1.6,12.4,{서리}{강도2}6h. {비}{강도0}1510-{눈}{강도0}{비}{강도0}1745-{비}{강도0}1756-{눈}{강도0}2109-,
108,서울,1920-01-29,.6,-3.1,,5.3,,,,,,,6.8,,0,,5.3,50,,3.1,2678,,,,,77.3,4.8,,,,,,,,7.1,,,,,,,,,3.3,,1.4,,2.1,0,0,0,.1,3.8,8.6,,,,1.5,,{서리}{강도1}22h. -{눈}{강도0}0753.  {연무}{강도0}1710-2130.,
108,서울,1920-01-30,.1,-6.6,,4.5,,,,,,,,,0,,3.8,50,,2.2,1901,,,,,74.3,4.6,,,,,,,,7.4,,,,,,,,,5.7,,.5,,2.1,0,0,0,.2,3.7,8.5,,,,1.3,,{서리}{강도2}6h. {연무}{강도0}0630-1032.  {달코로나}{강도0}1938-1954.,
108,서울,1920-01-31,3.8,-1.2,,7.5,,,,,,,,,0,,5.5,50,,2.6,2246,,,,,67.3,5.3,,,,,,,,5.9,,,,,,,,,10,,1.9,,2.2,0,0,0,.2,3.7,8.6,,,,1.5,.1,{달무리}{강도0}1845-2245.,
108,서울,1920-02-01,5.4,2.6,,8.5,,,,,,,.1,,0,,5.7,50,,4.2,3629,,,,,70.7,6.3,,,,,,,,.7,,,,,,,,,10,,2.5,,2.1,0,0,0,.2,3.5,8.6,,,,.7,1.6,{비}{강도0}(fine)0815-{비}{강도0}0910-{비}{강도0}0918-0952.  {비}{강도0}(fine)1145-1154.  {비}{강도0}1403-{비}{강도0}(fine)1426-1518.,
108,서울,1920-02-02,-5.2,-10.6,,3.5,,,,,,,1.6,,0,,10.3,270,,5.3,4579,,,,,68.3,3,,,,,,,,6.1,,,,,,,,,4.3,,.3,,2.1,0,0,0,.3,3.4,8.2,,,,1.2,0,{비}{강도0}(fine)0250-{눈}{강도0}0310-0657.,
108,서울,1920-02-03,-9.1,-14.1,,-4.5,,,,,,,,,0,,4.3,320,,2.6,2246,,,,,55,1.7,,,,,,,,8.8,,,,,,,,,1.7,,-3,,2.2,0,0,0,.5,3.5,8.2,,,,1.2,,{서리}{강도0}6h. 22h. {연무}{강도0}0933-1138.  1432-1757.,
108,서울,1920-02-04,-4.4,-11.5,,.2,,,,,,,,,0,,3.1,70,,1.8,1555,,,,,65.3,2.9,,,,,,,,8.1,,,,,,,,,7.3,,-.3,,1.8,0,0,0,.5,3.4,8,,,,1.2,,{서리}{강도1}6h. {달무리}{강도0}2130-2330.,
108,서울,1920-02-05,-2.2,-5.1,,3.1,,,,,,,,,0,,7.1,320,,3.6,3110,,,,,59.7,3.2,,,,,,,,5.6,,,,,,,,,4.7,,.8,,2,0,0,0,.6,3.5,8,,,,1.4,,{연무}{강도0}0752-0940.  {햇무리}{강도0}1445-{햇무리}{강도1}1450-{햇무리}{강도0}1520-1538.,
108,서울,1920-02-06,-7.4,-11.2,,-3.8,,,,,,,,,0,,4.8,320,,3.4,2938,,,,,52.3,1.8,,,,,,,,9,,,,,,,,,1,,-1.1,,1.9,0,0,0,.7,3.6,8,,,,1.2,,{연무}{강도0}0923-1148.  {달무리}{강도0}2320-,
108,서울,1920-02-07,-5.8,-10.3,,-1.6,,,,,,,,,0,,4.1,320,,2.2,1901,,,,,58,2.2,,,,,,,,8.9,,,,,,,,,6.7,,-1.5,,1.6,0,0,0,.6,3.5,7.9,,,,1.4,,-{달무리}{강도0}-{달무리}{강도1}0005-{달무리}{강도0}0030-0612.  {연무}{강도0}1845-,
108,서울,1920-02-08,-6.6,-8.9,,-3.4,,,,,,,,,0,,7.7,290,,4.3,3715,,,,,50.3,1.9,,,,,,,,9.3,,,,,,,,,3.3,,-2.1,,1.7,0,0,0,.6,3.5,8,,,,1.6,,-{연무}{강도0}-0709.,
108,서울,1920-02-09,-9.4,-12.7,,-4.3,,,,,,,0,,0,,7.9,320,,4.4,3802,,,,,56.7,1.7,,,,,,,,8.1,,,,,,,,,0,,-4.3,,1.2,0,0,0,.5,3.6,7.8,,,,.4,0,{눈}{강도0}1748-1933.,
108,서울,1920-02-10,-14.5,-16.7,,-11.6,,,,,,,,,0,,9.7,320,,5.9,5098,,,,,52.7,1,,,,,,,,9.2,,,,,,,,,0,,-7,,.9,0,0,0,.6,3.7,7.8,,,,.5,,,
108,서울,1920-02-11,-11.8,-18.5,,-5.4,,,,,,,,,0,,3.3,270,,1.2,1037,,,,,64,1.6,,,,,,,,8.9,,,,,,,,,0,,-6.2,,.5,0,0,0,.3,3.6,7.7,,,,1.1,,{서리}{강도0}6h. {서리}{강도0}22h. {연무}{강도0}0750-1115.,
108,서울,1920-02-12,-7.6,-15.7,,-.6,,,,,,,,,0,,3.3,290,,1.2,1037,,,,,63.3,2,,,,,,,,8.6,,,,,,,,,0,,-4.5,,.7,0,0,0,.3,3.7,7.8,,,,1.4,,{서리}{강도2}6h. {서리}{강도2}22h. {연무}{강도0}0942-1654.,
108,서울,1920-02-13,-4.3,-12.9,,3,,,,,,,,,0,,3.8,90,,1.4,1210,,,,,60.7,2.5,,,,,,,,8.6,,,,,,,,,3,,-2,,.8,0,0,0,.1,3.5,7.6,,,,1.7,,{서리}{강도2}6h. {햇무리}{강도0}1235-1338.  {햇무리}{강도0}1713-1725.,
108,서울,1920-02-14,.4,-3,,1.3,,,,,,,2.5,,0,,6.8,90,,5.1,4406,,,,,77.7,4.8,,,,,,,,0,,,,,,,,,10,,-.5,,1.6,0,0,0,.3,3.6,7.7,,,,.4,2.9,{눈}{강도0}0858-{눈}{강도1}1212-{눈}{강도0}1315-{눈}{강도1}1420-{눈}{강도0}1535-,
108,서울,1920-02-15,1.7,-.4,,4.5,,,,,,,.7,,0,,3.7,290,,2.1,1814,,,,,82.3,5.6,,,,,,,,.2,,,,,,,,,10,,.7,,1.9,0,0,0,.4,3.5,7.6,,,,.3,.3,-{눈}{강도0}0420.  {눈}{강도0}0754-0847.  0930-1021.  1118-1152.  {비}{강도0}(fine)1325-1623.  {눈}{강도0}1750-{비}{강도0}(fine)1802-1855.,
108,서울,1920-02-16,.6,-2.6,,5,,,,,,,,,0,,3.7,270,,2.1,1814,,,,,76.7,4.8,,,,,,,,8.4,,,,,,,,,6.3,,1.3,,2,0,0,0,.4,3.4,7.5,,,,1.2,,{서리}{강도2}6h. {서리}{강도2}22h. {햇무리}{강도0}1220-1305.,
108,서울,1920-02-17,-1.4,-6.1,,1.5,,,,,,,.8,,0,,1.9,250,,1.3,1123,,,,,81.7,4.6,,,,,,,,1.2,,,,,,,,,6.7,,-.2,,2,0,0,0,.5,3.4,7.5,,,,.2,.8,{서리}{강도2}6h. {눈}{강도0}1510-{싸락우박}{강도0}1645-{싸락우박}{강도0}{눈}{강도0}1710-{눈}{강도0}1725-{싸락우박}{강도0}1745-{눈}{강도0}1805-2240.,
108,서울,1920-02-18,.1,-2.9,,3.7,,,,,,,0,,0,,7.4,270,,2.9,2506,,,,,74.7,4.5,,,,,,,,8.1,,,,,,,,,3.7,,2.7,,2,0,0,0,.5,3.4,7.4,,,,1.6,,{서리}{강도1}22h.,
108,서울,1920-02-19,-1.3,-4.9,,2.7,,,,,,,,,0,,4.4,290,,2.1,1814,,,,,71.3,3.9,,,,,,,,6.8,,,,,,,,,0,,1.6,,2,0,0,0,.6,3.4,7.4,,,,1.5,,{서리}{강도2}6h. {안개}{강도0}0620-{안개}{강도1}0632-{안개}{강도0}1016-1140.,
108,서울,1920-02-20,-4.1,-6.9,,-.5,,,,,,,,,0,,5.9,290,,3.6,3110,,,,,54.7,2.4,,,,,,,,9.3,,,,,,,,,0,,.3,,2,0,0,0,.6,3.4,7.4,,,,1.8,,{서리}{강도1}6h.,
108,서울,1920-02-21,-4.2,-9.6,,-.4,,,,,,,,,0,,4.3,290,,1.9,1642,,,,,60,2.6,,,,,,,,7.1,,,,,,,,,5,,-.9,,1.9,0,0,0,.6,3.4,7.4,,,,1.4,,{서리}{강도1}6h. {연무}{강도0}0715-1027.  {햇무리}{강도0}1333-{햇무리}{강도1}1418-{햇무리}{강도0}1520-1558.,
